,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Two or more races,"155,315","±4,493",3.1%,±0.1,"73,946","±2,800",10.0%,±0.4,"735,021","±11,378",10.4%,±0.2,"159,103","±4,959",5.3%,±0.2,"4,235,217","±31,554",10.7%,±0.1,"478,070","±8,049",8.4%,±0.1,"227,267","±5,513",6.3%,±0.2,"49,512","±2,358",5.0%,±0.2,"38,857","±2,141",5.7%,±0.3,"2,001,725","±24,237",9.4%,±0.1,"514,903","±9,398",4.8%,±0.1,"355,014","±5,337",24.4%,±0.4,"103,310","±3,507",5.7%,±0.2,"749,100","±11,335",5.8%,±0.1,"287,953","±6,794",4.3%,±0.1,"123,765","±3,572",3.9%,±0.1,"179,456","±4,825",6.1%,±0.2,"158,878","±3,819",3.5%,±0.1,"177,641","±5,068",3.8%,±0.1,"46,901","±2,172",3.5%,±0.2,"331,775","±7,191",5.4%,±0.1,"451,680","±7,956",6.5%,±0.1,"463,369","±8,008",4.6%,±0.1,"258,882","±4,931",4.6%,±0.1,"69,989","±2,938",2.4%,±0.1,"279,528","±6,149",4.6%,±0.1,"48,359","±1,992",4.5%,±0.2,"100,214","±3,426",5.1%,±0.2,"315,256","±7,097",10.3%,±0.2,"50,890","±2,237",3.7%,±0.2,"617,270","±9,635",6.7%,±0.1,"261,464","±7,215",12.4%,±0.3,"1,200,713","±14,299",6.0%,±0.1,"500,458","±8,915",4.8%,±0.1,"29,799","±1,837",3.9%,±0.2,"502,392","±7,690",4.3%,±0.1,"393,387","±5,271",10.0%,±0.1,"325,612","±6,068",7.7%,±0.1,"555,201","±8,166",4.3%,±0.1,"71,968","±3,382",6.6%,±0.3,"201,774","±5,717",4.0%,±0.1,"38,519","±1,887",4.4%,±0.2,"261,593","±5,383",3.8%,±0.1,"3,152,085","±24,923",10.9%,±0.1,"182,358","±5,119",5.6%,±0.2,"21,622","±1,147",3.4%,±0.2,"503,340","±8,236",5.9%,±0.1,"655,594","±8,153",8.6%,±0.1,"55,463","±1,968",3.1%,±0.1,"259,477","±4,988",4.4%,±0.1,"28,437","±1,760",4.9%,±0.3,"561,153","±9,702",16.9%,±0.3
One race,"4,842,360","±4,494",96.9%,±0.1,"662,005","±2,800",90.0%,±0.4,"6,344,182","±11,378",89.6%,±0.2,"2,847,206","±4,957",94.7%,±0.2,"35,220,136","±31,554",89.3%,±0.1,"5,245,106","±8,048",91.6%,±0.1,"3,378,063","±5,513",93.7%,±0.2,"932,380","±2,358",95.0%,±0.2,"644,297","±2,141",94.3%,±0.3,"19,338,037","±24,237",90.6%,±0.1,"10,110,712","±9,399",95.2%,±0.1,"1,098,484","±5,337",75.6%,±0.4,"1,708,307","±3,506",94.3%,±0.2,"12,072,713","±11,335",94.2%,±0.1,"6,463,387","±6,796",95.7%,±0.1,"3,055,325","±3,571",96.1%,±0.1,"2,752,643","±4,826",93.9%,±0.2,"4,335,263","±3,819",96.5%,±0.1,"4,479,664","±5,064",96.2%,±0.1,"1,310,145","±2,172",96.5%,±0.2,"5,816,770","±7,191",94.6%,±0.1,"6,540,172","±7,956",93.5%,±0.1,"9,599,143","±8,006",95.4%,±0.1,"5,411,590","±4,934",95.4%,±0.1,"2,897,034","±2,938",97.6%,±0.1,"5,862,006","±6,148",95.4%,±0.1,"1,029,619","±1,994",95.5%,±0.2,"1,851,266","±3,426",94.9%,±0.2,"2,743,982","±7,097",89.7%,±0.2,"1,321,285","±2,238",96.3%,±0.2,"8,616,754","±9,635",93.3%,±0.1,"1,847,902","±7,215",87.6%,±0.3,"18,914,032","±14,299",94.0%,±0.1,"9,866,564","±8,917",95.2%,±0.1,"743,545","±1,837",96.1%,±0.2,"11,267,531","±7,690",95.7%,±0.1,"3,554,749","±5,272",90.0%,±0.1,"3,881,565","±6,067",92.3%,±0.1,"12,415,449","±8,166",95.7%,±0.1,"1,019,981","±3,382",93.4%,±0.3,"4,877,129","±5,717",96.0%,±0.1,"843,266","±1,887",95.6%,±0.2,"6,597,904","±5,383",96.2%,±0.1,"25,710,496","±24,922",89.1%,±0.1,"3,049,012","±5,120",94.4%,±0.2,"620,015","±1,148",96.6%,±0.2,"8,079,139","±8,238",94.1%,±0.1,"6,961,770","±8,153",91.4%,±0.1,"1,745,586","±1,968",96.9%,±0.1,"5,612,184","±4,990",95.6%,±0.1,"548,204","±1,760",95.1%,±0.3,"2,750,121","±9,702",83.1%,±0.3
White,"3,338,590","±3,980",66.8%,±0.1,"458,520","±1,719",62.3%,±0.2,"4,985,729","±10,875",70.4%,±0.2,"2,227,020","±4,549",74.1%,±0.2,"20,553,732","±35,545",52.1%,±0.1,"4,507,448","±9,599",78.8%,±0.2,"2,595,884","±6,140",72.0%,±0.2,"645,409","±2,690",65.7%,±0.3,"276,373","±1,660",40.5%,±0.2,"14,449,017","±20,614",67.7%,±0.1,"5,934,931","±9,904",55.9%,±0.1,"344,295","±2,124",23.7%,±0.1,"1,567,799","±4,232",86.5%,±0.2,"8,699,413","±11,026",67.8%,±0.1,"5,483,296","±5,023",81.2%,±0.1,"2,795,319","±3,626",87.9%,±0.1,"2,386,766","±4,445",81.4%,±0.2,"3,842,383","±3,468",85.5%,±0.1,"2,805,875","±4,405",60.2%,±0.1,"1,261,097","±1,914",92.9%,±0.1,"3,238,671","±6,376",52.7%,±0.1,"5,211,704","±8,679",74.5%,±0.1,"7,715,291","±6,195",76.7%,±0.1,"4,576,758","±3,905",80.7%,±0.1,"1,701,989","±2,486",57.4%,±0.1,"4,930,466","±4,931",80.3%,±0.1,"938,223","±1,741",87.0%,±0.2,"1,630,376","±3,382",83.5%,±0.2,"1,799,601","±7,428",58.8%,±0.2,"1,249,067","±2,183",91.0%,±0.2,"5,787,873","±11,074",62.7%,±0.1,"1,364,638","±8,553",64.7%,±0.4,"12,215,118","±15,025",60.7%,±0.1,"6,865,508","±8,866",66.2%,±0.1,"656,584","±1,366",84.9%,±0.2,"9,374,538","±4,889",79.6%,±0.1,"2,752,553","±4,429",69.7%,±0.1,"3,394,838","±6,460",80.7%,±0.2,"10,153,752","±8,231",78.3%,±0.1,"841,181","±3,750",77.0%,±0.3,"3,334,961","±4,521",65.7%,±0.1,"728,526","±1,314",82.6%,±0.1,"5,198,206","±5,221",75.8%,±0.1,"18,566,027","±26,849",64.3%,±0.1,"2,704,561","±4,858",83.7%,±0.2,"596,282",±654,92.9%,±0.1,"5,574,307","±6,853",64.9%,±0.1,"5,465,011","±9,069",71.7%,±0.1,"1,658,405","±1,684",92.1%,±0.1,"4,894,019","±5,646",83.3%,±0.1,"511,179","±1,619",88.6%,±0.3,"1,693,651","±12,697",51.1%,±0.4
Black or African American,"1,324,233","±3,335",26.5%,±0.1,"23,721",±820,3.2%,±0.1,"318,827","±4,448",4.5%,±0.1,"458,086","±2,316",15.2%,±0.1,"2,233,258","±8,611",5.7%,±0.1,"234,065","±3,088",4.1%,±0.1,"389,290","±3,778",10.8%,±0.1,"215,745","±1,814",22.0%,±0.2,"305,109","±2,006",44.7%,±0.3,"3,358,469","±9,653",15.7%,±0.1,"3,350,903","±6,794",31.5%,±0.1,"28,142","±1,017",1.9%,±0.1,"12,242",±831,0.7%,±0.1,"1,804,013","±5,094",14.1%,±0.1,"635,076","±4,259",9.4%,±0.1,"119,036","±2,055",3.7%,±0.1,"165,291","±2,191",5.6%,±0.1,"361,703","±2,972",8.0%,±0.1,"1,486,002","±3,746",31.9%,±0.1,"19,525",±847,1.4%,±0.1,"1,833,987","±5,004",29.8%,±0.1,"511,394","±4,765",7.3%,±0.1,"1,368,177","±5,406",13.6%,±0.1,"376,406","±3,182",6.6%,±0.1,"1,113,414","±2,617",37.5%,±0.1,"695,678","±3,059",11.3%,±0.1,"6,236",±696,0.6%,±0.1,"93,358","±1,767",4.8%,±0.1,"284,412","±2,959",9.3%,±0.1,"21,834","±1,150",1.6%,±0.1,"1,225,321","±4,828",13.3%,±0.1,"44,792","±1,471",2.1%,±0.1,"3,058,846","±9,147",15.2%,±0.1,"2,193,147","±6,227",21.2%,±0.1,"24,349",±813,3.1%,±0.1,"1,452,530","±5,029",12.3%,±0.1,"284,536","±3,081",7.2%,±0.1,"77,913","±2,229",1.9%,±0.1,"1,425,210","±6,541",11.0%,±0.1,"69,398","±2,426",6.4%,±0.2,"1,328,691","±3,861",26.2%,±0.1,"19,300",±842,2.2%,±0.1,"1,130,608","±3,627",16.5%,±0.1,"3,499,862","±9,929",12.1%,±0.1,"38,545","±1,331",1.2%,±0.1,"8,166",±489,1.3%,±0.1,"1,631,941","±5,030",19.0%,±0.1,"293,401","±3,917",3.9%,±0.1,"61,143","±1,416",3.4%,±0.1,"372,439","±2,726",6.3%,±0.1,"5,242",±581,0.9%,±0.1,"329,651","±6,952",10.0%,±0.2
American Indian and Alaska Native,"21,661","±1,391",0.4%,±0.1,"107,531","±1,922",14.6%,±0.3,"300,862","±3,623",4.2%,±0.1,"17,459","±1,112",0.6%,±0.1,"360,607","±8,270",0.9%,±0.1,"53,143","±2,176",0.9%,±0.1,"8,714","±1,010",0.2%,±0.1,"3,064",±444,0.3%,±0.1,"1,984",±468,0.3%,±0.1,"54,466","±3,100",0.3%,±0.1,"34,928","±2,577",0.3%,±0.1,"4,286",±700,0.3%,±0.1,"22,799","±1,223",1.3%,±0.1,"42,714","±2,619",0.3%,±0.1,"11,399",±864,0.2%,±0.1,"10,889",±779,0.3%,±0.1,"21,657","±1,292",0.7%,±0.1,"7,114",±749,0.2%,±0.1,"25,550","±1,150",0.5%,±0.1,"7,578",±546,0.6%,±0.1,"17,266","±1,454",0.3%,±0.1,"14,939","±1,401",0.2%,±0.1,"48,361","±1,672",0.5%,±0.1,"52,695","±1,388",0.9%,±0.1,"13,357",±734,0.5%,±0.1,"19,904","±1,073",0.3%,±0.1,"65,452","±1,255",6.1%,±0.1,"17,937","±1,183",0.9%,±0.1,"37,850","±1,697",1.2%,±0.1,"1,988",±301,0.1%,±0.1,"24,719","±2,201",0.3%,±0.1,"197,712","±2,492",9.4%,±0.1,"83,734","±4,228",0.4%,±0.1,"113,719","±2,168",1.1%,±0.1,"39,103",±990,5.1%,±0.1,"18,416","±1,290",0.2%,±0.1,"303,792","±2,773",7.7%,±0.1,"46,075","±1,939",1.1%,±0.1,"20,511","±1,599",0.2%,±0.1,"4,437",±732,0.4%,±0.1,"15,595","±1,311",0.3%,±0.1,"73,296","±1,400",8.3%,±0.2,"15,219","±1,267",0.2%,±0.1,"147,892","±4,782",0.5%,±0.1,"33,242","±1,506",1.0%,±0.1,"1,520",±266,0.2%,±0.1,"24,007","±1,684",0.3%,±0.1,"90,789","±2,717",1.2%,±0.1,"1,911",±340,0.1%,±0.1,"45,831","±1,176",0.8%,±0.1,"12,987",±584,2.3%,±0.1,"5,407",±989,0.2%,±0.1
Cherokee tribal grouping,"6,646",±716,0.1%,±0.1,976,±283,0.1%,±0.1,"2,934",±629,0.0%,±0.1,"6,086",±767,0.2%,±0.1,"14,026","±1,131",0.0%,±0.1,"3,416",±619,0.1%,±0.1,503,±267,0.0%,±0.1,286,±141,0.0%,±0.1,199,±131,0.0%,±0.1,"6,576",±683,0.0%,±0.1,"4,113",±527,0.0%,±0.1,566,±194,0.0%,±0.1,"1,287",±351,0.1%,±0.1,"2,156",±437,0.0%,±0.1,"2,250",±352,0.0%,±0.1,481,±126,0.0%,±0.1,"4,091",±447,0.1%,±0.1,"1,680",±393,0.0%,±0.1,"2,122",±463,0.0%,±0.1,217,±96,0.0%,±0.1,"1,735",±367,0.0%,±0.1,480,±155,0.0%,±0.1,"2,152",±417,0.0%,±0.1,376,±93,0.0%,±0.1,699,±217,0.0%,±0.1,"5,133",±463,0.1%,±0.1,241,±114,0.0%,±0.1,557,±207,0.0%,±0.1,"1,781",±536,0.1%,±0.1,242,±137,0.0%,±0.1,"1,242",±400,0.0%,±0.1,"1,049",±341,0.0%,±0.1,"2,541",±627,0.0%,±0.1,"14,746",±831,0.1%,±0.1,257,±220,0.0%,±0.1,"3,420",±435,0.0%,±0.1,"119,936","±2,214",3.0%,±0.1,"3,510",±596,0.1%,±0.1,"1,921",±386,0.0%,±0.1,61,±62,0.0%,±0.1,"2,856",±474,0.1%,±0.1,250,±145,0.0%,±0.1,"3,408",±528,0.0%,±0.1,"13,135","±1,072",0.0%,±0.1,724,±262,0.0%,±0.1,32,±21,0.0%,±0.1,"2,592",±428,0.0%,±0.1,"2,761",±423,0.0%,±0.1,653,±204,0.0%,±0.1,681,±179,0.0%,±0.1,290,±105,0.1%,±0.1,0,±35,0.0%,±0.1
Chippewa tribal grouping,204,±133,0.0%,±0.1,492,±240,0.1%,±0.1,692,±282,0.0%,±0.1,63,±48,0.0%,±0.1,"2,448",±600,0.0%,±0.1,733,±218,0.0%,±0.1,68,±61,0.0%,±0.1,17,±20,0.0%,±0.1,27,±34,0.0%,±0.1,"1,187",±306,0.0%,±0.1,430,±345,0.0%,±0.1,40,±37,0.0%,±0.1,513,±226,0.0%,±0.1,843,±239,0.0%,±0.1,233,±168,0.0%,±0.1,201,±76,0.0%,±0.1,138,±70,0.0%,±0.1,267,±133,0.0%,±0.1,65,±47,0.0%,±0.1,50,±43,0.0%,±0.1,68,±48,0.0%,±0.1,69,±55,0.0%,±0.1,"19,341",±984,0.2%,±0.1,"32,080","±1,073",0.6%,±0.1,28,±30,0.0%,±0.1,524,±154,0.0%,±0.1,"2,360",±397,0.2%,±0.1,170,±122,0.0%,±0.1,278,±99,0.0%,±0.1,34,±49,0.0%,±0.1,30,±27,0.0%,±0.1,287,±161,0.0%,±0.1,602,±209,0.0%,±0.1,601,±206,0.0%,±0.1,"14,753",±620,1.9%,±0.1,513,±172,0.0%,±0.1,433,±134,0.0%,±0.1,"1,029",±311,0.0%,±0.1,229,±93,0.0%,±0.1,12,±22,0.0%,±0.1,105,±57,0.0%,±0.1,469,±175,0.1%,±0.1,285,±174,0.0%,±0.1,841,±289,0.0%,±0.1,96,±76,0.0%,±0.1,14,±13,0.0%,±0.1,514,±189,0.0%,±0.1,"2,048",±379,0.0%,±0.1,48,±37,0.0%,±0.1,"14,493",±660,0.2%,±0.1,145,±64,0.0%,±0.1,0,±35,0.0%,±0.1
Navajo tribal grouping,149,±114,0.0%,±0.1,89,±63,0.0%,±0.1,"143,191","±2,826",2.0%,±0.1,261,±166,0.0%,±0.1,"9,607","±1,152",0.0%,±0.1,"8,438",±962,0.1%,±0.1,105,±99,0.0%,±0.1,0,±30,0.0%,±0.1,87,±88,0.0%,±0.1,641,±252,0.0%,±0.1,208,±78,0.0%,±0.1,387,±169,0.0%,±0.1,990,±255,0.1%,±0.1,495,±344,0.0%,±0.1,184,±96,0.0%,±0.1,188,±85,0.0%,±0.1,710,±250,0.0%,±0.1,66,±39,0.0%,±0.1,398,±205,0.0%,±0.1,42,±41,0.0%,±0.1,182,±150,0.0%,±0.1,187,±89,0.0%,±0.1,339,±130,0.0%,±0.1,448,±183,0.0%,±0.1,4,±8,0.0%,±0.1,603,±200,0.0%,±0.1,484,±167,0.0%,±0.1,240,±116,0.0%,±0.1,"2,221",±477,0.1%,±0.1,77,±71,0.0%,±0.1,226,±155,0.0%,±0.1,"121,573","±2,762",5.8%,±0.1,360,±133,0.0%,±0.1,598,±226,0.0%,±0.1,614,±301,0.1%,±0.1,204,±107,0.0%,±0.1,"1,212",±281,0.0%,±0.1,"1,145",±394,0.0%,±0.1,156,±82,0.0%,±0.1,0,±33,0.0%,±0.1,67,±43,0.0%,±0.1,187,±91,0.0%,±0.1,274,±144,0.0%,±0.1,"4,645",±918,0.0%,±0.1,"14,703",±941,0.5%,±0.1,59,±66,0.0%,±0.1,396,±149,0.0%,±0.1,"1,781",±375,0.0%,±0.1,0,±30,0.0%,±0.1,332,±119,0.0%,±0.1,484,±276,0.1%,±0.1,0,±35,0.0%,±0.1
Sioux tribal grouping,253,±116,0.0%,±0.1,315,±166,0.0%,±0.1,"1,736",±570,0.0%,±0.1,89,±67,0.0%,±0.1,"3,136",±601,0.0%,±0.1,"3,234",±587,0.1%,±0.1,40,±61,0.0%,±0.1,13,±27,0.0%,±0.1,11,±19,0.0%,±0.1,642,±168,0.0%,±0.1,314,±128,0.0%,±0.1,50,±41,0.0%,±0.1,779,±295,0.0%,±0.1,269,±116,0.0%,±0.1,186,±104,0.0%,±0.1,"1,490",±332,0.0%,±0.1,832,±232,0.0%,±0.1,233,±119,0.0%,±0.1,120,±98,0.0%,±0.1,117,±68,0.0%,±0.1,183,±109,0.0%,±0.1,141,±68,0.0%,±0.1,342,±121,0.0%,±0.1,"4,752",±538,0.1%,±0.1,112,±77,0.0%,±0.1,564,±168,0.0%,±0.1,"2,344",±434,0.2%,±0.1,"4,262",±516,0.2%,±0.1,749,±281,0.0%,±0.1,15,±19,0.0%,±0.1,152,±103,0.0%,±0.1,659,±249,0.0%,±0.1,318,±121,0.0%,±0.1,372,±114,0.0%,±0.1,"11,178",±815,1.4%,±0.1,337,±155,0.0%,±0.1,"1,276",±266,0.0%,±0.1,"1,430",±336,0.0%,±0.1,306,±107,0.0%,±0.1,21,±34,0.0%,±0.1,231,±267,0.0%,±0.1,"54,699","±1,785",6.2%,±0.2,283,±120,0.0%,±0.1,"1,547",±396,0.0%,±0.1,550,±226,0.0%,±0.1,12,±20,0.0%,±0.1,188,±97,0.0%,±0.1,"1,561",±347,0.0%,±0.1,26,±25,0.0%,±0.1,491,±176,0.0%,±0.1,726,±234,0.1%,±0.1,0,±35,0.0%,±0.1
Asian,"70,161","±1,602",1.4%,±0.1,"47,213","±1,091",6.4%,±0.1,"234,495","±2,772",3.3%,±0.1,"46,388","±1,083",1.5%,±0.1,"5,887,396","±9,676",14.9%,±0.1,"183,391","±1,949",3.2%,±0.1,"167,308","±1,745",4.6%,±0.1,"39,684",±687,4.0%,±0.1,"27,988",±672,4.1%,±0.1,"596,862","±4,102",2.8%,±0.1,"448,181","±2,754",4.2%,±0.1,"544,643","±4,380",37.5%,±0.3,"24,616","±1,225",1.4%,±0.1,"725,482","±3,635",5.7%,±0.1,"163,657","±2,344",2.4%,±0.1,"79,188","±1,216",2.5%,±0.1,"87,946","±1,642",3.0%,±0.1,"68,737","±1,227",1.5%,±0.1,"80,438","±1,385",1.7%,±0.1,"14,917",±776,1.1%,±0.1,"397,087","±2,700",6.5%,±0.1,"480,944","±2,854",6.9%,±0.1,"322,218","±2,418",3.2%,±0.1,"283,382","±2,247",5.0%,±0.1,"29,092","±1,021",1.0%,±0.1,"123,406","±1,924",2.0%,±0.1,"8,972",±543,0.8%,±0.1,"48,379","±1,041",2.5%,±0.1,"255,094","±2,962",8.3%,±0.1,"36,625",±931,2.7%,±0.1,"900,516","±3,194",9.8%,±0.1,"34,313","±1,242",1.6%,±0.1,"1,739,196","±5,899",8.6%,±0.1,"314,690","±2,286",3.0%,±0.1,"12,313",±594,1.6%,±0.1,"276,828","±3,041",2.4%,±0.1,"88,601","±1,400",2.2%,±0.1,"186,724","±2,262",4.4%,±0.1,"460,932","±3,160",3.6%,±0.1,"37,701",±925,3.5%,±0.1,"83,441","±1,668",1.6%,±0.1,"12,677",±616,1.4%,±0.1,"125,581","±1,953",1.8%,±0.1,"1,452,713","±5,444",5.0%,±0.1,"75,530","±1,748",2.3%,±0.1,"10,759",±741,1.7%,±0.1,"578,210","±3,182",6.7%,±0.1,"682,711","±4,539",9.0%,±0.1,"13,882",±743,0.8%,±0.1,"166,670","±1,972",2.8%,±0.1,"5,046",±424,0.9%,±0.1,"6,263",±890,0.2%,±0.1
Asian Indian,"13,689","±1,557",0.3%,±0.1,870,±332,0.1%,±0.1,"63,725","±3,307",0.9%,±0.1,"11,521","±1,088",0.4%,±0.1,"829,193","±13,749",2.1%,±0.1,"31,077","±1,890",0.5%,±0.1,"63,667","±2,705",1.8%,±0.1,"16,888","±1,220",1.7%,±0.1,"7,501",±754,1.1%,±0.1,"175,398","±5,404",0.8%,±0.1,"159,731","±4,664",1.5%,±0.1,"2,448",±580,0.2%,±0.1,"3,258",±626,0.2%,±0.1,"252,931","±6,285",2.0%,±0.1,"46,292","±2,849",0.7%,±0.1,"15,657","±1,663",0.5%,±0.1,"20,172","±1,202",0.7%,±0.1,"17,250","±1,333",0.4%,±0.1,"11,596","±1,417",0.2%,±0.1,"2,297",±584,0.2%,±0.1,"104,390","±3,957",1.7%,±0.1,"121,997","±3,439",1.7%,±0.1,"118,224","±3,592",1.2%,±0.1,"45,842","±2,668",0.8%,±0.1,"6,365",±883,0.2%,±0.1,"32,828","±1,662",0.5%,±0.1,780,±289,0.1%,±0.1,"8,269",±854,0.4%,±0.1,"17,420","±2,137",0.6%,±0.1,"10,872",±991,0.8%,±0.1,"409,982","±6,973",4.4%,±0.1,"4,070",±691,0.2%,±0.1,"384,745","±7,540",1.9%,±0.1,"110,320","±3,292",1.1%,±0.1,"1,983",±702,0.3%,±0.1,"97,629","±3,970",0.8%,±0.1,"16,791","±1,641",0.4%,±0.1,"29,032","±2,253",0.7%,±0.1,"148,727","±3,629",1.1%,±0.1,"9,168","±1,144",0.8%,±0.1,"23,071","±1,727",0.5%,±0.1,"2,409",±641,0.3%,±0.1,"35,042","±2,101",0.5%,±0.1,"452,909","±8,393",1.6%,±0.1,"11,541","±1,631",0.4%,±0.1,"1,858",±498,0.3%,±0.1,"154,333","±4,940",1.8%,±0.1,"133,439","±4,861",1.8%,±0.1,"3,562",±513,0.2%,±0.1,"35,003","±2,212",0.6%,±0.1,641,±305,0.1%,±0.1,"3,541",±684,0.1%,±0.1
Chinese,"14,040","±1,569",0.3%,±0.1,"2,805",±576,0.4%,±0.1,"44,385","±2,688",0.6%,±0.1,"6,063",±925,0.2%,±0.1,"1,616,619","±16,151",4.1%,±0.1,"35,008","±1,772",0.6%,±0.1,"39,124","±2,374",1.1%,±0.1,"8,955","±1,086",0.9%,±0.1,"7,273",±782,1.1%,±0.1,"104,622","±4,175",0.5%,±0.1,"62,474","±3,035",0.6%,±0.1,"57,489","±2,617",4.0%,±0.2,"5,524",±939,0.3%,±0.1,"134,875","±4,139",1.1%,±0.1,"32,937","±2,074",0.5%,±0.1,"12,293","±1,220",0.4%,±0.1,"14,230","±1,055",0.5%,±0.1,"11,602","±1,088",0.3%,±0.1,"12,026","±1,255",0.3%,±0.1,"4,144",±548,0.3%,±0.1,"85,918","±2,976",1.4%,±0.1,"177,658","±4,044",2.5%,±0.1,"57,159","±2,246",0.6%,±0.1,"31,928","±1,889",0.6%,±0.1,"4,739",±703,0.2%,±0.1,"29,147","±1,741",0.5%,±0.1,"2,046",±473,0.2%,±0.1,"6,433",±796,0.3%,±0.1,"40,497","±2,294",1.3%,±0.1,"7,703",±909,0.6%,±0.1,"159,030","±4,201",1.7%,±0.1,"6,422",±906,0.3%,±0.1,"733,860","±8,803",3.6%,±0.1,"50,298","±2,216",0.5%,±0.1,"1,336",±387,0.2%,±0.1,"59,710","±2,536",0.5%,±0.1,"11,810","±1,076",0.3%,±0.1,"42,460","±2,077",1.0%,±0.1,"115,751","±3,013",0.9%,±0.1,"8,667","±1,004",0.8%,±0.1,"15,211","±1,342",0.3%,±0.1,"1,554",±380,0.2%,±0.1,"22,381","±1,621",0.3%,±0.1,"223,503","±6,751",0.8%,±0.1,"14,268","±1,337",0.4%,±0.1,"2,853",±476,0.4%,±0.1,"78,587","±2,996",0.9%,±0.1,"157,137","±3,994",2.1%,±0.1,"2,390",±451,0.1%,±0.1,"24,947","±1,539",0.4%,±0.1,"1,324",±356,0.2%,±0.1,"2,013",±652,0.1%,±0.1
Filipino,"6,362",±785,0.1%,±0.1,"25,945","±1,411",3.5%,±0.2,"43,273","±2,135",0.6%,±0.1,"4,758",±676,0.2%,±0.1,"1,288,497","±13,703",3.3%,±0.1,"18,438","±1,542",0.3%,±0.1,"12,836","±1,454",0.4%,±0.1,"4,320",±816,0.4%,±0.1,"2,607",±452,0.4%,±0.1,"108,338","±3,752",0.5%,±0.1,"26,945","±2,118",0.3%,±0.1,"213,048","±4,885",14.7%,±0.3,"3,836",±543,0.2%,±0.1,"128,259","±4,541",1.0%,±0.1,"15,092","±1,453",0.2%,±0.1,"5,610",±678,0.2%,±0.1,"6,272",±861,0.2%,±0.1,"7,134",±867,0.2%,±0.1,"8,583","±1,046",0.2%,±0.1,"2,036",±499,0.2%,±0.1,"50,231","±2,545",0.8%,±0.1,"14,607","±1,250",0.2%,±0.1,"25,221","±1,719",0.3%,±0.1,"12,290","±1,273",0.2%,±0.1,"4,617",±806,0.2%,±0.1,"13,800","±1,047",0.2%,±0.1,"2,597",±398,0.2%,±0.1,"4,149",±608,0.2%,±0.1,"130,708","±3,451",4.3%,±0.1,"3,049",±484,0.2%,±0.1,"116,127","±3,493",1.3%,±0.1,"9,730","±1,180",0.5%,±0.1,"116,148","±4,621",0.6%,±0.1,"26,246","±1,773",0.3%,±0.1,"2,451",±427,0.3%,±0.1,"22,225","±1,563",0.2%,±0.1,"7,029",±670,0.2%,±0.1,"21,153","±1,669",0.5%,±0.1,"27,819","±2,140",0.2%,±0.1,"3,308",±683,0.3%,±0.1,"13,308","±1,048",0.3%,±0.1,"2,062",±400,0.2%,±0.1,"12,576",±994,0.2%,±0.1,"137,238","±4,918",0.5%,±0.1,"9,131","±1,251",0.3%,±0.1,932,±248,0.1%,±0.1,"76,614","±2,923",0.9%,±0.1,"110,300","±3,736",1.4%,±0.1,"2,607",±458,0.1%,±0.1,"11,059",±989,0.2%,±0.1,"1,159",±262,0.2%,±0.1,121,±63,0.0%,±0.1
